Symbol,Category
NSE\:SENSEXIETF,Other
NSE\:INFRAIETF,Other
NSE\:TNIDETF,Other
NSE\:MOLOWVOL,Other
NSE\:HDFCSILVER,Other
NSE\:ABSLBANETF,Other
NSE\:SILVERBEES,Other
NSE\:SILVERIETF,Other
NSE\:SBIETFQLTY,Other
NSE\:CONSUMIETF,Other
NSE\:BANKIETF,Banking
NSE\:HEALTHIETF,Other
NSE\:NIFTYQLITY,IT
NSE\:MOHEALTH,Other
NSE\:AXISHCETF,Other
NSE\:HDFCLOWVOL,Other
NSE\:CONSUMBEES,Other
NSE\:GOLDBEES,Other
NSE\:AXISILVER,Other
NSE\:AUTOIETF,Other
NSE\:HDFCMOMENT,Other
NSE\:SETFGOLD,Broad Market
NSE\:ALPHAETF,Other
NSE\:QGOLDHALF,Other
NSE\:HDFCNIF100,Other
NSE\:SILVER,Other
NSE\:UTINIFTETF,Other
NSE\:NIF100BEES,Other
NSE\:HDFCNEXT50,Other
NSE\:INFRABEES,Other
NSE\:NEXT50IETF,Other
NSE\:MOM30IETF,Other
NSE\:GOLDIETF,Other
NSE\:JUNIORBEES,Other
NSE\:HDFCGOLD,Other
NSE\:DIVOPPBEES,Other
NSE\:GOLDSHARE,Other
NSE\:NV20BEES,Other
NSE\:BSLNIFTY,Broad Market
NSE\:HDFCBSE500,Other
NSE\:QUAL30IETF,Other
NSE\:GOLDETF,Other
NSE\:ABSLNN50ET,Other
NSE\:ESILVER,Other
NSE\:NIFTYETF,Broad Market
NSE\:BSE500IETF,Other
NSE\:FINIETF,Other
NSE\:SENSEXETF,Other
NSE\:AXISGOLD,Other
NSE\:ICICIB22,Other
NSE\:FMCGIETF,Other
NSE\:NIFTYBEES,Broad Market
NSE\:MOM100,Other
NSE\:SETFNN50,Broad Market
NSE\:PSUBNKBEES,Banking
NSE\:SBIETFIT,IT
NSE\:LOWVOLIETF,Other
NSE\:MIDCAPETF,Other
NSE\:AXISBNKETF,Other
NSE\:HEALTHY,Other
NSE\:BANKETF,Banking
NSE\:NIF100IETF,Other
NSE\:CPSEETF,Other
NSE\:ITETF,IT
NSE\:ITIETF,IT
NSE\:BANKBEES,Banking
NSE\:MON100,Other
NSE\:SETFNIFBK,Broad Market
NSE\:MAKEINDIA,Other
NSE\:MONQ50,Other
NSE\:AUTOBEES,Other
NSE\:MIDSELIETF,Other
NSE\:HDFCNIFTY,Broad Market
NSE\:UTIBANKETF,Banking
NSE\:PSUBNKIETF,Banking
NSE\:PVTBANIETF,Other
NSE\:UTINEXT50,Other
NSE\:HDFCSML250,Other
NSE\:TECH,Other
NSE\:NV20IETF,Other
NSE\:MAHKTECH,Other
NSE\:BFSI,Other
NSE\:ALPL30IETF,Other
NSE\:NIFTYIETF,Broad Market
NSE\:MONIFTY500,Broad Market
NSE\:SETFNIF50,Broad Market
NSE\:COMMOIETF,Other
NSE\:MIDCAPIETF,Other
NSE\:BSLGOLDETF,Other
NSE\:MOVALUE,Other
NSE\:MID150BEES,Other
NSE\:MOMOMENTUM,Other
NSE\:SILVERETF,Other
NSE\:ITBEES,IT
NSE\:MOMENTUM,Other
NSE\:HNGSNGBEES,Other
NSE\:MASPTOP50,Other
NSE\:HDFCMID150,Other
NSE\:PHARMABEES,Pharma
NSE\:MAFANG,Other
